transaction_id,merchant,amount,date,channel,location,category
TXN001,STARBUCKS STORE #12345,5.75,2025-11-01 08:30:00,in-store,"Seattle, WA",Dining & Food
TXN002,CHEVRON GAS STATION,45.50,2025-11-01 09:15:00,in-store,"Seattle, WA",Fuel & Energy
TXN003,AMAZON WEB SERVICES,125.00,2025-11-02 00:00:00,online,,Software & SaaS
TXN004,UBER RIDE,18.25,2025-11-02 07:45:00,online,"Seattle, WA",Transportation
TXN005,STAPLES OFFICE SUPPLIES,67.89,2025-11-03 14:20:00,in-store,"Seattle, WA",Office Supplies
TXN006,MICROSOFT AZURE SUBSCRIPTION,250.00,2025-11-03 00:00:00,online,,Software & SaaS
TXN007,HILTON HOTEL SEATTLE,189.00,2025-11-04 15:00:00,in-store,"Seattle, WA",Travel & Accommodation
TXN008,DELTA AIRLINES FLIGHT,450.00,2025-11-04 10:00:00,online,,Travel & Accommodation
TXN009,COSTCO WHOLESALE,123.45,2025-11-05 16:30:00,in-store,"Seattle, WA",Dining & Food
TXN010,TESLA SUPERCHARGER,22.50,2025-11-05 18:00:00,in-store,"Seattle, WA",Fuel & Energy
TXN011,MCDONALDS #5678,12.35,2025-11-06 12:00:00,in-store,"Seattle, WA",Dining & Food
TXN012,AT&T WIRELESS BILL,85.00,2025-11-06 00:00:00,online,,Utilities
TXN013,COMCAST INTERNET SERVICE,95.00,2025-11-07 00:00:00,online,,Utilities
TXN014,GITHUB PRO SUBSCRIPTION,21.00,2025-11-07 00:00:00,online,,Software & SaaS
TXN015,LYFT RIDE,14.75,2025-11-08 08:15:00,online,"Seattle, WA",Transportation
TXN016,CHIPOTLE MEXICAN GRILL,18.50,2025-11-08 12:30:00,in-store,"Seattle, WA",Dining & Food
TXN017,OFFICE DEPOT SUPPLIES,45.60,2025-11-09 10:00:00,in-store,"Seattle, WA",Office Supplies
TXN018,SLACK BUSINESS SUBSCRIPTION,150.00,2025-11-09 00:00:00,online,,Software & SaaS
TXN019,SHELL GAS STATION,38.90,2025-11-10 17:00:00,in-store,"Seattle, WA",Fuel & Energy
TXN020,WHOLE FOODS MARKET,78.45,2025-11-10 18:30:00,in-store,"Seattle, WA",Dining & Food
TXN021,ZOOM VIDEO SUBSCRIPTION,180.00,2025-11-11 00:00:00,online,,Software & SaaS
TXN022,AMERICAN EXPRESS ANNUAL FEE,95.00,2025-11-11 00:00:00,online,,Banking & Fees
TXN023,ENTERPRISE RENT-A-CAR,225.00,2025-11-12 09:00:00,in-store,"Seattle, WA",Transportation
TXN024,MARRIOTT HOTEL,210.00,2025-11-12 15:00:00,in-store,"San Francisco, CA",Travel & Accommodation
TXN025,DUNKIN DONUTS,6.50,2025-11-12 07:00:00,in-store,"Seattle, WA",Dining & Food
